gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ensg00000008300.17	321.5223712	-0.253942083	0.204243515	-1.243329969	0.213746265	0.349795407
ensg00000008323.16	310.9588621	-1.012908959	0.276502659	-3.663288311	0.000248998	0.003824125
ensg00000008324.12	88.32869272	-0.017579969	0.31108363	-0.056512034	0.954933909	0.970534639
ensg00000008382.16	131.276245	-0.870201866	0.286332934	-3.039126006	0.002372656	0.019364028
ensg00000008394.13	655.3119087	1.836012118	0.531597818	3.453761579	0.000552826	0.006991559
ensg00000008405.12	244.756832	0.752300638	0.308813055	2.436103741	0.014846426	0.061434446
ensg00000008441.19	10070.70154	-0.811168643	0.209337667	-3.874929217	0.000106656	0.001950658
ensg00000008513.17	736.6686474	0.351886187	0.154736756	2.274095674	0.022960235	0.080843354
ensg00000008516.18	66.38428282	-0.948029201	0.477797269	-1.98416622	0.047237313	0.127356254
ensg00000008517.19	190.0503874	-0.104536815	0.259827145	-0.402332153	0.687439594	0.786475994
ensg00000008710.20	5095.080413	-0.723285367	0.225462959	-3.208000857	0.001336611	0.01301649
ensg00000008735.14	85.61377054	-1.130856016	0.316441708	-3.573662974	0.000352022	0.005006115
ensg00000008838.21	3410.888115	-0.228070384	0.156033698	-1.461673895	0.143830594	0.264768152
ensg00000008853.18	2481.54432	-0.281790459	0.194662261	-1.447586488	0.147732732	0.269964102
ensg00000008869.12	229.0279891	1.156498959	0.468486085	2.468587639	0.013564743	0.058353491
ensg00000008952.17	420.2643953	2.701029937	0.976949366	2.764759394	0.00569648	0.034303108
ensg00000008988.11	13797.14284	-0.028988831	0.085185063	-0.340304152	0.733627491	0.821465284
ensg00000009307.17	3449.424516	1.041310782	0.448208284	2.323274289	0.020164422	0.074800525
ensg00000009335.19	1527.612559	0.250303756	0.08197114	3.053559547	0.002261438	0.018709803
ensg00000009413.17	248.7811563	0.62889393	0.482512992	1.303372012	0.192447787	0.324228164
ensg00000009724.18	7.258615297	0.486647885	1.086745349	0.447803053	0.65429534	
ensg00000009765.15	21.22855867	-0.245517347	0.508855297	-0.482489517	0.629458243	0.740992944
ensg00000009780.16	147.8264121	0.572923543	0.310067713	1.847736862	0.064640419	0.15512296
ensg00000009830.13	535.3602713	-0.587533244	0.231396847	-2.539071955	0.011114696	0.051725485
ensg00000009844.16	383.9854014	1.147316559	0.464756939	2.468637825	0.013562841	0.058353491
ensg00000009950.16	295.0524383	-1.011335885	0.288369727	-3.507080637	0.000453052	0.006047079
ensg00000009954.11	2864.761722	0.276470508	0.217970356	1.268385819	0.204660203	0.338816679
ensg00000010017.13	753.7254391	0.391126832	0.270449115	1.446212286	0.148117669	0.270406554
ensg00000010030.14	268.1769461	-1.713438618	0.236891687	-7.23300442	4.72E-13	8.35E-11
ensg00000010072.16	210.3420037	-0.037928783	0.206759675	-0.183443814	0.854449801	0.904133546
ensg00000010165.20	1047.233301	-0.046584057	0.128786248	-0.361716078	0.717564211	0.809894921
ensg00000010219.14	77.5815124	-0.288819535	0.311979501	-0.925764462	0.3545684	0.499569424
ensg00000010244.19	2645.294034	0.39853894	0.172694097	2.307773961	0.021011712	0.076845283
ensg00000010256.12	7186.597382	-0.31739828	0.195262306	-1.625496936	0.104056716	0.212441115
ensg00000010270.14	243.9068866	1.025902212	0.32819885	3.125855596	0.001772886	0.015844794
ensg00000010278.15	5048.791316	0.427479006	0.136776994	3.125372142	0.001775802	0.015860166
ensg00000010292.13	6530.043304	-0.077148635	0.134363219	-0.574179712	0.565846197	0.689756782
ensg00000010310.9	82.17251046	-0.429772175	0.231564001	-1.855954172	0.06346009	0.153192996
ensg00000010318.22	101.4605103	-0.16755972	0.281716451	-0.594781454	0.551989566	0.678356023
ensg00000010319.7	4.503814542	-1.293193302	1.271247175	-1.017263462	0.309028114	
ensg00000010322.16	1918.003717	-0.276974861	0.172036918	-1.609973397	0.107403664	0.21753181
ensg00000010361.14	110.2072267	-0.833148452	1.077109987	-0.773503599	0.439224399	0.581113627
ensg00000010404.18	468.6058717	-0.149244042	0.208217304	-0.7167706	0.473515655	0.611991857
ensg00000010438.17	351.101874	0.14265309	0.15445951	0.923563008	0.355713881	0.500544833
ensg00000010539.12	137.2441534	0.044520997	0.283664512	0.15694948	0.875284664	0.919256968
ensg00000010626.15	136.7673044	-0.344160194	0.199252085	-1.727260188	0.084120946	0.184397491
ensg00000010704.20	132.8874454	-0.770925816	0.30053508	-2.565177473	0.010312304	0.049324895
ensg00000010803.17	770.933166	-1.302122617	0.152801311	-8.521671753	1.57E-17	6.51E-15
ensg00000010810.18	66.46640862	1.7749052	0.429576461	4.131756183	3.60E-05	0.00082838
ensg00000010818.11	1515.253274	0.418160734	0.183136763	2.283324916	0.022411236	0.079784724
ensg00000011007.13	2176.712659	0.389459107	0.105261291	3.699927117	0.000215661	0.003441997
ensg00000011009.12	3260.322943	-0.276365776	0.25094102	-1.101317656	0.270758429	0.412913615
ensg00000011021.23	889.6209578	-0.23130541	0.100220781	-2.30795857	0.021001441	0.076845283
ensg00000011028.14	6970.318189	-0.897457505	0.215521109	-4.164128086	3.13E-05	0.000739726
ensg00000011052.21	373.2431787	-0.302107657	0.31718107	-0.952476947	0.340855152	0.486820494
ensg00000011083.9	8.487938037	-0.500492995	0.755143634	-0.66277854	0.5074724	
ensg00000011105.14	1295.027927	-0.063263441	0.18428758	-0.343286514	0.731382925	0.820044776
ensg00000011132.12	677.2057728	-0.657853455	0.281323802	-2.33842089	0.019365425	0.072772709
ensg00000011143.19	575.6325298	-0.511884737	0.158171169	-3.236270801	0.001211024	0.012104764
ensg00000011198.10	44.8776028	-0.222889389	0.974040073	-0.228829794	0.819001209	0.879378
ensg00000011201.12	61.47448191	0.521452806	0.320088795	1.629087974	0.103294397	0.211469208
ensg00000011243.19	3296.37846	-0.023462922	0.139936886	-0.167667885	0.866844563	0.912997285
ensg00000011258.16	93.6438025	0.704366135	0.52148867	1.350683486	0.176796844	0.305430836
ensg00000011260.14	519.4589087	0.051504672	0.169792391	0.303339103	0.761631449	0.840325607
ensg00000011275.19	1841.866287	-0.175731917	0.127422933	-1.379123156	0.167856786	0.294614922
ensg00000011295.16	60.83602904	1.235740231	0.878931819	1.405956872	0.159736932	0.28410538
ensg00000011304.22	16464.90163	-0.164417195	0.19281256	-0.852730732	0.393808644	0.538318871
ensg00000011332.22	150.9031556	-0.47774603	0.243159175	-1.964746056	0.049443637	0.130673172
ensg00000011347.10	1786.700975	-0.52113629	0.196591746	-2.650855392	0.008028821	0.042599677
ensg00000011376.12	177.9632685	0.795772245	0.40497909	1.964971194	0.049417572	0.130656392
ensg00000011405.14	537.4265958	0.585282791	0.275364878	2.125480908	0.033546505	0.102970214
ensg00000011422.12	597.9185697	-0.554847842	0.190438728	-2.913524197	0.003573741	0.025672828
ensg00000011426.11	1453.945281	0.320087838	0.338439197	0.945776499	0.344262595	0.490208039
ensg00000011451.21	4097.039359	-0.610767072	0.232947227	-2.621911749	0.008743807	0.044849233
ensg00000011454.18	1818.892659	0.815101579	0.353451942	2.306117133	0.021104088	0.076961499
ensg00000011465.18	11.48140242	-0.281513091	0.691529842	-0.407087408	0.683943792	
ensg00000011478.13	502.1104971	-0.630587092	0.270224639	-2.333566232	0.019618447	0.073434648
ensg00000011485.15	3985.090976	-0.448008451	0.17212353	-2.602830956	0.009245753	0.04610354
ensg00000011523.15	336.5145412	-0.097206987	0.209258613	-0.464530398	0.642267786	0.751201662
ensg00000011566.15	132.9619399	2.201338753	0.75859416	2.901866202	0.003709469	0.026319757
ensg00000011590.14	20.5457519	-1.738635949	0.790017406	-2.200756508	0.027753266	0.090955136
ensg00000011638.11	998.3856635	-0.315963147	0.143450822	-2.202588611	0.027623757	0.090714886
ensg00000012048.26	617.1415568	-0.169690149	0.227395185	-0.746234574	0.455525726	0.595476672
ensg00000012061.17	6447.11279	-0.127367938	0.240579323	-0.529421798	0.59651288	0.714909279
ensg00000012124.17	37.99381357	0.842342819	0.413625753	2.036485427	0.041701635	0.117849354
ensg00000012171.20	182.637284	-0.176735663	0.207563322	-0.851478296	0.394503715	0.538991056
ensg00000012174.12	162.9727514	0.802121705	0.354172979	2.264773864	0.02352656	0.082158039
ensg00000012211.13	1042.262483	-0.40757061	0.267798151	-1.521932128	0.128026088	0.245246101
ensg00000012232.10	2158.471003	-0.142891609	0.153238599	-0.932477919	0.351089593	0.496894345
ensg00000012660.14	912.4586518	0.28290431	0.219997264	1.285944672	0.198462372	0.331203761
ensg00000012822.16	1913.867215	0.143360619	0.096028799	1.492891933	0.135465477	0.254475174
ensg00000012963.15	894.6874683	0.569863183	0.278403995	2.046892981	0.040668593	0.115943544
ensg00000012983.12	82.21152569	0.353243851	0.286164059	1.234410261	0.217050067	0.353282769
ensg00000013016.16	334.949283	0.064250893	0.144627673	0.444250341	0.6568616	0.763219396
ensg00000013288.9	396.5616169	-0.330429281	0.249055013	-1.326732103	0.184597318	0.314844016
ensg00000013293.6	19.35845944	-0.395328413	0.56876658	-0.695062662	0.487016033	0.623301516
ensg00000013306.16	5225.402302	-0.434333632	0.227730993	-1.907222318	0.056491805	0.142780774
ensg00000013364.19	7442.054479	-0.346308719	0.236000553	-1.467406388	0.142265538	0.262810129
ensg00000013374.17	518.8300052	0.069460633	0.099987396	0.694693892	0.487247156	0.623416721
ensg00000013375.17	157.4892482	2.42296158	0.774149806	3.129835544	0.001749042	0.015726649
ensg00000013392.8	64.43497787	0.475444375	0.306805351	1.549661288	0.121222834	0.2365907
ensg00000013441.17	24.89502542	0.26631704	0.651274026	0.40891703	0.682600551	0.782831851
ensg00000013503.10	206.9725298	0.792905661	0.309573788	2.561281642	0.010428678	0.049720033
ensg00000013523.12	84.65088032	1.792555404	0.778600093	2.302279978	0.021319388	0.077297602
ensg00000013561.18	284.1720708	0.731886127	0.323984325	2.259017092	0.023882322	0.082789675
ensg00000013563.14	152.1957013	-1.049864276	0.378245497	-2.775616056	0.005509723	0.033745781
ensg00000013573.17	2359.16819	-0.127167115	0.136943834	-0.928607821	0.353092367	0.498746559
ensg00000013583.10	433.6968683	-0.601365564	0.191830408	-3.13488132	0.001719237	0.015601234
ensg00000013588.10	2871.857913	0.780126606	0.121391708	6.426523021	1.31E-10	1.40E-08
ensg00000013619.15	174.8602014	-0.029398727	0.211660136	-0.138895909	0.889532404	0.928091803
ensg00000013810.21	2348.985721	-0.658888001	0.167836626	-3.925770063	8.65E-05	0.001651072
ensg00000014123.10	179.5044177	0.400733231	0.437082231	0.91683716	0.359227977	0.504081495
ensg00000014138.10	527.7669821	-0.383511216	0.300443706	-1.276482776	0.201784912	0.335607632
ensg00000014164.7	2475.194603	-0.736442239	0.229090865	-3.214629433	0.00130613	0.012823296
ensg00000014216.16	16269.64157	-0.356518987	0.225678036	-1.57976821	0.114159958	0.227016633
ensg00000014257.17	32.50392667	0.142133161	0.509298782	0.279076185	0.780186359	0.853606571
ensg00000014641.21	1733.718977	0.495941752	0.216426075	2.291506469	0.021934138	0.07857164
ensg00000014824.14	67.97848685	0.913018061	0.35396419	2.579407992	0.009896982	0.04829698
ensg00000014914.21	355.3372218	-1.42330436	0.218381822	-6.517503827	7.15E-11	8.31E-09
ensg00000014919.13	1038.428788	0.111149944	0.177069968	0.62771765	0.530188921	0.660888106
ensg00000015133.20	3223.148374	-0.585944624	0.188764845	-3.104098243	0.001908599	0.016598804
ensg00000015153.15	95.33468233	0.030646377	0.290977976	0.105321981	0.916120321	0.946395849
ensg00000015171.21	594.2152858	0.897378796	0.461529422	1.944358807	0.051852198	0.134860484
ensg00000015285.12	17.19795802	-0.423799753	0.721191663	-0.587638175	0.556775181	0.682339182
ensg00000015475.19	778.9908173	-0.04593545	0.209501828	-0.219260379	0.826447224	0.884649613
ensg00000015479.20	498.0437508	2.022652537	0.985955911	2.051463473	0.040221833	0.115115564
ensg00000015520.15	9.372507479	-0.904330459	0.863069346	-1.047807414	0.294727346	
ensg00000015532.10	1901.290668	-0.521328059	0.226073717	-2.30600915	0.021110121	0.076961499
ensg00000015676.18	419.2723772	-0.67811295	0.249609601	-2.716694175	0.00659375	0.03768223
ensg00000016082.15	110.0949771	-0.238483722	0.369677065	-0.645113653	0.518853537	0.651405208
ensg00000016391.11	95.75664656	-0.372082261	0.230571658	-1.613738063	0.106584254	0.2162166
ensg00000016402.14	47.51524094	-0.982390241	0.401731705	-2.445388868	0.014469603	0.060498462
ensg00000016602.9	5.829482529	1.057826317	1.496658606	0.706791992	0.479695752	
